Outcome,effect,term,estimate,std.error,statistic,conf.low,conf.high
FFM,fixed,SurgeryTypeNameRYGB,1.225133374819693,0.6708123965297501,1.8263427765461087,-0.0896347627616183,2.5399015124010047
FFM,fixed,Age,-0.15140024707084684,0.01873046414770023,-8.083101725454899,-0.188111282214058,-0.11468921192763568
FFM,fixed,SexMale,23.773829410229613,0.457196601283315,51.99913854017798,22.8777405378602,24.669918282599028
FFM,fixed,T2DM_FBSYes,0.42111827051677636,0.5190081090965464,0.8113905411802333,-0.5961189309966894,1.4383554720302423
FFM,fixed,HTN_FBSYes,0.7101247768073479,0.5055935860887572,1.4045367590614277,-0.2808204427410672,1.701069996355763
FFM,fixed,Hypothyroidism_FBSYes,0.14442034572257242,0.46813945354896874,0.308498556632475,-0.7731161229756677,1.0619568144208125
FFM,fixed,followup_period0–1m:SurgeryTypeNameOAGB,0.6183664912682003,0.3507556526899503,1.7629551698623773,-0.06910195537794184,1.3058349379143426
FFM,fixed,followup_period1–6m:SurgeryTypeNameOAGB,0.8080841999922591,0.194026601356218,4.164811393612355,0.42779904929136153,1.1883693506931567
FFM,fixed,followup_period6–12m:SurgeryTypeNameOAGB,0.9457342344309203,0.2370717567880771,3.989231982940633,0.4810821293746502,1.4103863394871903
FFM,fixed,followup_period12–24m:SurgeryTypeNameOAGB,0.17154973455100075,0.303856265571031,0.5645752745253114,-0.4239976024450579,0.7670970715470594
FFM,fixed,followup_period>24m:SurgeryTypeNameOAGB,-0.9158204014589357,0.3536111957013624,-2.5899078213360065,-1.6088856095637507,-0.22275519335412075
FFM,fixed,followup_period0–1m:SurgeryTypeNameRYGB,1.109048776594479,0.47386014076978444,2.3404559302937624,0.18029996697662154,2.0377975862123363
FFM,fixed,followup_period1–6m:SurgeryTypeNameRYGB,1.4391609406576538,0.30314545489227535,4.747427076447736,0.8450067669917827,2.033315114323525
FFM,fixed,followup_period6–12m:SurgeryTypeNameRYGB,1.6540889892735438,0.34001164220545016,4.864801036060023,0.9876784162265426,2.3204995623205447
FFM,fixed,followup_period12–24m:SurgeryTypeNameRYGB,1.2219482955154377,0.41055749729624486,2.9763146540074503,0.41727038723189736,2.026626203798978
FFM,fixed,followup_period>24m:SurgeryTypeNameRYGB,0.4710072302200286,0.45815613658090976,1.0280495940423782,-0.42696229677456826,1.3689767572146254
SMMI,fixed,(Intercept),9.586462298825506,0.12813141613541731,74.81742251793995,9.335329337911974,9.837595259739038
SMMI,fixed,followup_period0–1m,-0.7803911565761951,0.054628970871362786,-14.285298517041737,-0.8874619719965537,-0.6733203411558364
SMMI,fixed,followup_period1–6m,-1.1053167652012257,0.030036181196066,-36.799510496560565,-1.1641865985786342,-1.0464469318238172
SMMI,fixed,followup_period6–12m,-1.630956483786379,0.03693000750348888,-44.16344848108406,-1.7033379684420111,-1.558574999130747
SMMI,fixed,followup_period12–24m,-1.914399916791608,0.04745335268076316,-40.34277471753172,-2.007406778991581,-1.821393054591635
SMMI,fixed,followup_period>24m,-1.7909915881703862,0.056692930222324786,-31.591092242840567,-1.902107689584185,-1.6798754867565873
SMMI,fixed,SurgeryTypeNameOAGB,0.010819029432210742,0.06999400082718289,0.15457081041735593,-0.12636669132293443,0.14800475018735593
SMMI,fixed,SurgeryTypeNameRYGB,0.2990858408361575,0.10747099966378029,2.782944624799605,0.08844655211263194,0.5097251295596831
SMMI,fixed,Age,-0.00284801476631185,0.002963387612218063,-0.9610672443150771,-0.008656147758491401,0.0029601182258677
SMMI,fixed,SexMale,2.545670494234509,0.07235701915928387,35.182080796205426,2.403853342653638,2.6874876458153802
SMMI,fixed,T2DM_FBSYes,0.018284083322261863,0.08210391689157966,0.2226944098952851,-0.142636636774904,0.17920480341942774
SMMI,fixed,HTN_FBSYes,0.12471252222205731,0.07997498656111764,1.5593941003885112,-0.03203557110180805,0.28146061554592267
SMMI,fixed,Hypothyroidism_FBSYes,0.016534663701975053,0.07406727930278374,0.2232384375073652,-0.12863453616435,0.16170386356830013
SMMI,fixed,followup_period0–1m:SurgeryTypeNameOAGB,0.1133501351021081,0.06452499840739255,1.7566855931781273,-0.0131165378788856,0.2398168080831018
