Outcome,SurgeryTypeName,followup_period,n,mean,sd,se,lower,upper,OutcomeLabel,period_index
FFM,SG,>24m,127,53.40629921259843,8.640470923669447,0.7667178118538746,51.903532301364834,54.90906612383202,Fat-free mass (kg),6
FFM,OAGB,Pre,1382,62.09081042630628,13.90263115305569,0.37397535167421314,61.35781873702482,62.82380211558773,Fat-free mass (kg),1
FFM,OAGB,0–1m,316,60.68512657503538,13.201452578570086,0.7426397285398932,59.22955270709719,62.140700442973575,Fat-free mass (kg),2
FFM,OAGB,1–6m,1623,55.236044368403086,12.155798663026502,0.30173399180241267,54.64464574447036,55.82744299233581,Fat-free mass (kg),3
FFM,OAGB,6–12m,910,55.022087911249514,11.386777794835096,0.37746800832194777,54.2822506149385,55.76192520756053,Fat-free mass (kg),4
FFM,OAGB,12–24m,487,54.2509240309071,10.072624881072066,0.4564342019255985,53.356312995132924,55.145535066681276,Fat-free mass (kg),5
FFM,OAGB,>24m,442,53.75316742081448,11.0291759606509,0.5246044024976427,52.7249427919191,54.78139204970986,Fat-free mass (kg),6
FFM,RYGB,Pre,238,60.672268881918,10.12814874070858,0.6565103726417466,59.38550855154018,61.959029212295825,Fat-free mass (kg),1
FFM,RYGB,0–1m,84,56.939285541716075,8.135775627625025,0.8876858964468699,55.19942118468021,58.67914989875194,Fat-free mass (kg),2
FFM,RYGB,1–6m,269,56.00780671697567,10.256314731225274,0.6253385458289269,54.78214316715098,57.23347026680037,Fat-free mass (kg),3
FFM,RYGB,6–12m,216,52.54074079019052,6.476045835028464,0.4406391068526651,51.677088140759295,53.40439343962174,Fat-free mass (kg),4
FFM,RYGB,12–24m,134,51.67686567164179,7.65168335242662,0.6610047650707888,50.38129633210305,52.972435011180536,Fat-free mass (kg),5
FFM,RYGB,>24m,122,51.46967213114754,7.285249326059698,0.6595754828405701,50.17690418478002,52.76244007751506,Fat-free mass (kg),6
PMM,SG,Pre,555,62.01009010658608,15.357294844018888,0.651880861449818,60.73240361814443,63.28777659502772,Predicted muscle mass (kg),1
PMM,SG,0–1m,126,56.637301587301586,12.124505658389436,1.0801368132784592,54.520233433275806,58.754369741327366,Predicted muscle mass (kg),2
PMM,SG,1–6m,695,54.89971222911807,12.520872485270473,0.47494376462631305,53.9688224504505,55.83060200778564,Predicted muscle mass (kg),3
PMM,SG,6–12m,356,53.2505617998959,10.960843230165182,0.5809235293528578,52.1119516823643,54.3891719174275,Predicted muscle mass (kg),4
PMM,SG,12–24m,188,51.511170212765954,9.48187309314696,0.6915366690579983,50.15575834141228,52.86658208411963,Predicted muscle mass (kg),5
PMM,SG,>24m,127,50.68976377952756,8.256501379102538,0.7326460243749758,49.25377757175261,52.12574998730251,Predicted muscle mass (kg),6
PMM,OAGB,Pre,1382,58.79905933485017,13.315098162000583,0.3581709435351291,58.09704428552132,59.50107438417902,Predicted muscle mass (kg),1
PMM,OAGB,0–1m,316,57.575632933121696,12.65043352527136,0.7116424850375878,56.180813662448024,58.97045220379537,Predicted muscle mass (kg),2
PMM,OAGB,1–6m,1623,52.27794208303323,11.669249111382937,0.28965674846392064,51.71021485604395,52.845669310022515,Predicted muscle mass (kg),3
PMM,OAGB,6–12m,910,52.17923078264509,10.923503271263845,0.36211060740752415,51.469493992126345,52.88896757316384,Predicted muscle mass (kg),4
PMM,OAGB,12–24m,487,51.50924023074046,9.65206736211788,0.43737692164423125,50.651981464317764,52.366498997163156,Predicted muscle mass (kg),5
PMM,OAGB,>24m,442,51.045701357466065,10.543336423116667,0.5014953723028942,50.06277042775239,52.02863228717974,Predicted muscle mass (kg),6
PMM,RYGB,Pre,238,57.55252098275834,9.685408816216702,0.6278118058796627,56.3220098432342,58.78303212228248,Predicted muscle mass (kg),1
PMM,RYGB,0–1m,84,54.03571426754906,7.757245173837718,0.8463848379391004,52.37679998518843,55.694628549909694,Predicted muscle mass (kg),2
PMM,RYGB,1–6m,269,53.140892099713746,9.802141393518854,0.5976471086998644,51.969503766662015,54.312280432765476,Predicted muscle mass (kg),3
PMM,RYGB,6–12m,216,49.86296294530233,6.168111372688123,0.4196868205484396,49.04037677702739,50.68554911357727,Predicted muscle mass (kg),4
PMM,RYGB,12–24m,134,49.025373117247625,7.300485994680765,0.6306659342203642,47.78926788617571,50.26147834831954,Predicted muscle mass (kg),5
PMM,RYGB,>24m,122,48.808196721311475,6.945961311401993,0.6288577893102497,47.575635454263384,50.040757988359566,Predicted muscle mass (kg),6
SMMI,SG,Pre,555,10.357463487848506,2.109441708441371,0.08954081379849853,10.18196349280345,10.532963482893562,Skeletal muscle mass index (kg/m²),1
SMMI,SG,0–1m,126,9.50968391176254,1.3801037923510855,0.12294941783726591,9.268703052801499,9.750664770723581,Skeletal muscle mass index (kg/m²),2
SMMI,SG,1–6m,695,9.091130844637645,1.6549163116570793,0.06277455378006169,8.968092719228723,9.214168970046567,Skeletal muscle mass index (kg/m²),3
SMMI,SG,6–12m,356,8.770293933621954,1.3298055800989295,0.07047955478627466,8.632154006240855,8.908433861003052,Skeletal muscle mass index (kg/m²),4
SMMI,SG,12–24m,188,8.593647873148004,1.131406785379877,0.08251632056504798,8.43191588484051,8.755379861455499,Skeletal muscle mass index (kg/m²),5
SMMI,SG,>24m,127,8.615061136681264,1.334508594548209,0.11841848882441026,8.38296089858542,8.847161374777109,Skeletal muscle mass index (kg/m²),6
SMMI,OAGB,Pre,1382,10.062874729139933,1.8851717643918333,0.05071038465979711,9.96348237520673,10.162267083073136,Skeletal muscle mass index (kg/m²),1
SMMI,OAGB,0–1m,316,9.760589812375322,1.6604793906824327,0.09340926360969107,9.577507655700327,9.943671969050317,Skeletal muscle mass index (kg/m²),2
SMMI,OAGB,1–6m,1623,8.86054596956762,1.564703809616494,0.0388394328955165,8.784420681092406,8.936671258042832,Skeletal muscle mass index (kg/m²),3
SMMI,OAGB,6–12m,910,8.783429573918436,1.361956995362128,0.045148434765511454,8.694938641778034,8.871920506058839,Skeletal muscle mass index (kg/m²),4
SMMI,OAGB,12–24m,487,8.587230793014934,1.1613172100777265,0.0526243059999543,8.484087153255023,8.690374432774844,Skeletal muscle mass index (kg/m²),5
SMMI,OAGB,>24m,442,8.521739249855145,1.3157925922209852,0.06258587124873265,8.39907094220763,8.64440755750266,Skeletal muscle mass index (kg/m²),6
SMMI,RYGB,Pre,238,10.003200777438508,1.4632916512011722,0.09485110969513948,9.817292602436034,10.189108952440982,Skeletal muscle mass index (kg/m²),1
SMMI,RYGB,0–1m,84,9.39950422445933,1.0145548388924106,0.1106970082359095,9.182538088316948,9.616470360601712,Skeletal muscle mass index (kg/m²),2
SMMI,RYGB,1–6m,269,9.07912199382002,1.3862907442423935,0.0845236384430916,8.913455662471561,9.24478832516848,Skeletal muscle mass index (kg/m²),3
SMMI,RYGB,6–12m,216,8.453811828736905,0.9200877222278796,0.06260403994605358,8.33110791044264,8.57651574703117,Skeletal muscle mass index (kg/m²),4
SMMI,RYGB,12–24m,134,8.246127459540295,0.9719761432245242,0.08396595005500122,8.081554197432492,8.410700721648098,Skeletal muscle mass index (kg/m²),5
SMMI,RYGB,>24m,122,8.262947832951781,1.0431323751588575,0.09444076780611148,8.077843928051802,8.44805173785176,Skeletal muscle mass index (kg/m²),6
TWL,SG,Pre,555,1.5038504375242951,6.739991964188637,0.2860967255239823,0.9431008554972898,2.0646000195513006,Total weight loss (%),1
TWL,SG,0–1m,126,9.31274847473417,2.714878722151054,0.24186061964123548,8.838701660237348,9.78679528923099,Total weight loss (%),2
TWL,SG,1–6m,695,17.187586809748368,6.178694605888341,0.2343712452985269,16.728219168963253,17.64695445053348,Total weight loss (%),3
TWL,SG,6–12m,356,29.141491300604315,6.453884648475806,0.3420552022594973,28.471063104175702,29.811919497032928,Total weight loss (%),4
TWL,SG,12–24m,188,33.178687739721006,9.266170246317715,0.6758049220985886,31.854110092407772,34.50326538703424,Total weight loss (%),5
TWL,SG,>24m,127,27.250349734711836,10.870736280446451,0.9646218600600072,25.359690888994223,29.14100858042945,Total weight loss (%),6
TWL,OAGB,Pre,1382,1.1653075744654366,5.617898097264716,0.15111926609177798,0.8691138129255518,1.4615013360053215,Total weight loss (%),1
TWL,OAGB,0–1m,316,9.552425770065453,3.5637484166523965,0.2004765112759943,9.159491807964503,9.945359732166402,Total weight loss (%),2
TWL,OAGB,1–6m,1623,16.58494702949248,5.935279818157964,0.14732686198927347,16.296186379993504,16.873707678991455,Total weight loss (%),3
TWL,OAGB,6–12m,910,30.582574756852875,6.564809897473116,0.2176213290238596,30.15603695196611,31.009112561739638,Total weight loss (%),4
TWL,OAGB,12–24m,487,36.5419878783412,7.5931393834643135,0.3440779891559399,35.86759501959556,37.216380737086844,Total weight loss (%),5
TWL,OAGB,>24m,442,34.7185358014042,9.654581266556356,0.45922160048735183,33.818461464448994,35.61861013835941,Total weight loss (%),6
TWL,RYGB,Pre,238,0.6179328735510842,6.2525327888538,0.4052915035367032,-0.17643847338085406,1.4123042204830223,Total weight loss (%),1
TWL,RYGB,0–1m,84,9.471548926972208,3.551369826684508,0.38748621551342766,8.712075944565889,10.231021909378526,Total weight loss (%),2
TWL,RYGB,1–6m,269,17.472815621741198,6.333218863687726,0.38614316920066677,16.71597501010789,18.229656233374506,Total weight loss (%),3
TWL,RYGB,6–12m,216,30.107647560260915,6.815711640705825,0.46375043760213397,29.19869670256073,31.0165984179611,Total weight loss (%),4
TWL,RYGB,12–24m,134,35.46467671465518,7.0536893630278215,0.6093459524578831,34.270358647837725,36.65899478147263,Total weight loss (%),5
TWL,RYGB,>24m,122,29.81098412685707,10.079864288512546,0.9125880333678236,28.022311581456133,31.599656672258003,Total weight loss (%),6
Weight,SG,Pre,555,122.54846846846847,23.48329332982466,0.9968102872939827,120.59472030537226,124.50221663156468,Weight (kg),1
