Outcome,followup_period,SurgeryTypeName,emmean,SE,df,lower,upper,OutcomeLabel,period_index
PMM,0–1m,RYGB,64.07993490632165,0.6677812736089075,Inf,62.77110766049791,65.3887621521454,Predicted muscle mass (kg),2
PMM,1–6m,RYGB,62.702118491833446,0.6175665764717472,Inf,61.491710243893124,63.91252673977377,Predicted muscle mass (kg),3
PMM,6–12m,RYGB,60.52466656966252,0.6249589651110057,Inf,59.299769506229524,61.74956363309552,Predicted muscle mass (kg),4
PMM,12–24m,RYGB,59.0324710876338,0.6440863204326992,Inf,57.77008509665079,60.294857078616815,Predicted muscle mass (kg),5
PMM,>24m,RYGB,58.61516240481824,0.653046314724874,Inf,57.33521514772088,59.895109661915605,Predicted muscle mass (kg),6
FFM,Pre,SG,69.82868871221723,0.46188209304674194,Inf,68.92341644474163,70.73396097969282,Fat-free mass (kg),1
FFM,0–1m,SG,65.12233350002946,0.5233308693917635,Inf,64.09662384402357,66.14804315603534,Fat-free mass (kg),2
FFM,1–6m,SG,63.33288383212646,0.460306590822225,Inf,62.43069949226849,64.23506817198444,Fat-free mass (kg),3
FFM,6–12m,SG,60.816437134719074,0.4754163921549886,Inf,59.88463812843533,61.74823614100282,Fat-free mass (kg),4
FFM,12–24m,SG,59.69532613934795,0.5027308241020855,Inf,58.70999183018972,60.680660448506174,Fat-free mass (kg),5
FFM,>24m,SG,60.007334944440835,0.5303364738304013,Inf,58.96789455604528,61.04677533283639,Fat-free mass (kg),6
FFM,Pre,OAGB,69.55244511064915,0.36408063733402196,Inf,68.83886017400607,70.26603004729222,Fat-free mass (kg),1
FFM,0–1m,OAGB,65.46445638972958,0.3945340998684217,Inf,64.69118376331454,66.23772901614461,Fat-free mass (kg),2
FFM,1–6m,OAGB,63.864724430550645,0.363467967945512,Inf,63.15234030384348,64.5771085572578,Fat-free mass (kg),3
FFM,6–12m,OAGB,61.48592776758191,0.37037948889077016,Inf,60.75999730874365,62.211858226420176,Fat-free mass (kg),4
FFM,12–24m,OAGB,59.59063227233087,0.3841489833260702,Inf,58.837714100314095,60.34355044434765,Fat-free mass (kg),5
FFM,>24m,OAGB,58.81527094141383,0.3897535138742033,Inf,58.05136809137246,59.5791737914552,Fat-free mass (kg),6
FFM,Pre,RYGB,71.05382208703692,0.6434543665115853,Inf,69.79267470297918,72.31496947109466,Fat-free mass (kg),1
FFM,0–1m,RYGB,67.45651565144362,0.6962168337966518,Inf,66.09195573177168,68.82107557111557,Fat-free mass (kg),2
FFM,1–6m,RYGB,65.9971781476038,0.6432460634668657,Inf,64.73643903001158,67.25791726519603,Fat-free mass (kg),3
FFM,6–12m,RYGB,63.69565949881231,0.6510467314953112,Inf,62.419631352828986,64.97168764479564,Fat-free mass (kg),4
FFM,12–24m,RYGB,62.14240780968308,0.6712271583286542,Inf,60.82682675391375,63.45798886545241,Fat-free mass (kg),5
FFM,>24m,RYGB,61.70347554948056,0.6806763273158345,Inf,60.36937446281252,63.03757663614859,Fat-free mass (kg),6
SMMI,Pre,SG,10.824059517792508,0.07366019267485081,Inf,10.679688193055519,10.968430842529497,Skeletal muscle mass index (kg/m²),1
SMMI,0–1m,SG,10.043668361216314,0.0864414805088017,Inf,9.874246172648741,10.213090549783887,Skeletal muscle mass index (kg/m²),2
SMMI,1–6m,SG,9.718742752591282,0.07331792372545198,Inf,9.575042262668141,9.862443242514424,Skeletal muscle mass index (kg/m²),3
SMMI,6–12m,SG,9.193103034006128,0.07650968153518865,Inf,9.04314681372853,9.343059254283727,Skeletal muscle mass index (kg/m²),4
SMMI,12–24m,SG,8.9096596010009,0.08220426646878472,Inf,8.748542199346549,9.070777002655252,Skeletal muscle mass index (kg/m²),5
SMMI,>24m,SG,9.033067929622122,0.08787587041265003,Inf,8.86083438850322,9.205301470741025,Skeletal muscle mass index (kg/m²),6
SMMI,Pre,OAGB,10.834878547224719,0.057899392860751055,Inf,10.72139782249091,10.948359271958527,Skeletal muscle mass index (kg/m²),1
SMMI,0–1m,OAGB,10.167837525750633,0.06429197633947507,Inf,10.04182756763036,10.293847483870906,Skeletal muscle mass index (kg/m²),2
SMMI,1–6m,OAGB,9.85318401380239,0.057765859437140216,Inf,9.739965009769591,9.966403017835187,Skeletal muscle mass index (kg/m²),3
SMMI,6–12m,OAGB,9.365565177544413,0.05923146800249005,Inf,9.249473633508096,9.48165672158073,Skeletal muscle mass index (kg/m²),4
SMMI,12–24m,OAGB,8.911289588618725,0.062128076587737904,Inf,8.789520796078014,9.033058381159437,Skeletal muscle mass index (kg/m²),5
SMMI,>24m,OAGB,8.772397598905226,0.06329438366741258,Inf,8.648342886493436,8.896452311317015,Skeletal muscle mass index (kg/m²),6
SMMI,Pre,RYGB,11.123145358628665,0.10277549834361406,Inf,10.921709083382027,11.324581633875304,Skeletal muscle mass index (kg/m²),1
SMMI,0–1m,RYGB,10.5030415075769,0.11382018304599495,Inf,10.279958048092993,10.726124967060805,Skeletal muscle mass index (kg/m²),2
SMMI,1–6m,RYGB,10.12552587510287,0.10272153716998986,Inf,9.924195361813098,10.326856388392642,Skeletal muscle mass index (kg/m²),3
SMMI,6–12m,RYGB,9.618241613870874,0.10436890074413614,Inf,9.413682327306331,9.822800900435416,Skeletal muscle mass index (kg/m²),4
SMMI,12–24m,RYGB,9.309425932915868,0.10861368395265333,Inf,9.096547024140452,9.522304841691284,Skeletal muscle mass index (kg/m²),5
SMMI,>24m,RYGB,9.26847065306489,0.11057978725619223,Inf,9.051738252624652,9.485203053505128,Skeletal muscle mass index (kg/m²),6
ASM,Pre,SG,31.069077880919213,0.23745022112953906,Inf,30.603683999384245,31.53447176245418,Appendicular skeletal muscle mass (kg),1
ASM,0–1m,SG,28.81469897700574,0.27332091252265206,Inf,28.27899983223972,29.35039812177176,Appendicular skeletal muscle mass (kg),2
ASM,1–6m,SG,27.936719631440422,0.23651260979766184,Inf,27.47316343434743,28.400275828533413,Appendicular skeletal muscle mass (kg),3
ASM,6–12m,SG,26.49742230343517,0.2453942603154361,Inf,26.01645839120407,26.97838621566627,Appendicular skeletal muscle mass (kg),4
ASM,12–24m,SG,25.756401025137702,0.26135604997337547,Inf,25.244152580048237,26.268649470227167,Appendicular skeletal muscle mass (kg),5
ASM,>24m,SG,26.093411501318794,0.2773813809993031,Inf,25.549753984578178,26.63706901805941,Appendicular skeletal muscle mass (kg),6
ASM,Pre,OAGB,31.041586333368624,0.1869394718001,Inf,30.675191701351487,31.40798096538576,Appendicular skeletal muscle mass (kg),1
ASM,0–1m,OAGB,29.17762065470186,0.2047900478330486,Inf,28.77623953655685,29.579001772846873,Appendicular skeletal muscle mass (kg),2
ASM,1–6m,OAGB,28.320313898790033,0.18657434033991607,Inf,27.95463491128448,28.685992886295587,Appendicular skeletal muscle mass (kg),3
ASM,6–12m,OAGB,26.97842272639803,0.1906439201843113,Inf,26.604767508965253,27.352077943830807,Appendicular skeletal muscle mass (kg),4
ASM,12–24m,OAGB,25.7740400803082,0.1987228322872356,Inf,25.384550486119426,26.163529674496974,Appendicular skeletal muscle mass (kg),5
ASM,>24m,OAGB,25.371197005978484,0.20199543163569764,Inf,24.975293234930895,25.767100777026073,Appendicular skeletal muscle mass (kg),6
ASM,Pre,RYGB,31.80448064831416,0.33101998445003206,Inf,31.15569340062909,32.45326789599923,Appendicular skeletal muscle mass (kg),1
ASM,0–1m,RYGB,30.139304002299887,0.3619086940162146,Inf,29.429975996336182,30.848632008263593,Appendicular skeletal muscle mass (kg),2
ASM,1–6m,RYGB,29.195054839036167,0.33088545052302987,Inf,28.54653127300272,29.843578405069614,Appendicular skeletal muscle mass (kg),3
ASM,6–12m,RYGB,27.82868452532,0.33547026391469675,Inf,27.171174890163048,28.486194160476952,Appendicular skeletal muscle mass (kg),4
ASM,12–24m,RYGB,27.036526144166476,0.3473099909969092,Inf,26.355811070341606,27.717241217991347,Appendicular skeletal muscle mass (kg),5
ASM,>24m,RYGB,26.93521705010118,0.35282718534747587,Inf,26.24368847405349,27.62674562614887,Appendicular skeletal muscle mass (kg),6
